Time,Behavior,Comment
7541.023,Swim along ground,
7619.173,Straight swim,
7837.764,Left turn,
7855.366,Straight swim,
7863.379,Right turn,
7864.456,Swallow,
7865.502,Swallow,
7866.256,Right turn,
7889.331,Conspecific interaction,
7896.431,Right turn,
7902.755,Conspecific interaction,
7904.877,Conspecific interaction,
7912.627,Straight swim,
7914.206,Conspecific interaction,
7968.134,Feed,
7982.738,Feed,
7985.252,Swallow,
7986.576,Swallow,
7987.627,Straight swim,
7998.054,Right turn,
8009.301,Straight swim,
8019.978,Left turn,
8037.35,Straight swim,
8143.353,Feed,
8161.307,Lturn while feed,
8170.865,Feed,
8278.247,Swallow,
8279.77,Swallow,
8281.021,Swallow,
8281.822,Swallow,
8282.895,Swallow,
8284.774,Straight swim,
8343.144,Feed,
8380.759,Straight swim,
8391.888,Swallow,
8393.209,Swallow,
8394.538,Swallow,
8396.137,Straight swim,
8737.022,Swallow,
8739.451,Straight swim,
9101.995,Swallow,
9104.153,Straight swim,
9113.024,Swim along ground,
9188.315,Right turn,
9208.34,Conspecific interaction,
9209.215,Right turn,
9210.611,Conspecific interaction,
9214.788,Swim along ground,
9267.312,Straight swim,
9315.161,Conspecific interaction,
9445.499,Right turn,
9447.896,Swallow,
9450.025,Right turn,
9460.722,Conspecific interaction,
9477.719,Right turn,
9479.873,Right turn,
9483.321,Right turn,
9486.824,Right turn,
9490.247,Right turn,
9497.773,Straight swim,
9516.499,Right turn,
9520.171,Right turn,
9534.646,Straight swim,
9698.555,Right turn,
9701.532,Right turn,
9709.334,Straight swim,
9715.135,Left turn,
9732.509,Straight swim,
9737.856,Right turn,
9743.717,Straight swim,
9757.534,Left turn,
9765.225,Straight swim,
9780.23,Swallow,
9782.908,Straight swim,
9816.782,Left turn,
9827.408,Straight swim,
9828.207,Right turn,
9833.832,Swim along ground,
9850.954,Left turn,
9865.006,Swim along ground,
9892.981,Left turn,
9905.232,Swim along ground,
9906.833,Right turn,
9923.258,Swim along ground,
9926.132,Left turn,
9949.11,Swim along ground,
9966.983,Swim along ground,
9976.419,Left turn,
9983.41,Swim along ground,
10003.81,Left turn,
10011.23,Swim along ground,
10027.382,Right turn,
10035.134,Swim along ground,
10113.135,Straight swim,
10132.109,Swim along ground,
10147.462,Right turn,
10151.733,Swim along ground,
10158.709,Left turn,
10196.808,Swim along ground,
10361.294,Straight swim,
10384.243,Swim along ground,
10417.795,Right turn,
10424.047,Swim along ground,
10425.895,Left turn,
10430.42,Left turn,
10450.293,Right turn,
10470.141,Swim along ground,
10475.168,Left turn,
10498.567,Swallow,
10501.813,Left turn,
10507.342,Right turn,
10534.071,Swim along ground,
10549.642,Straight swim,
10558.966,Left turn,
10571.82,Straight swim,
10572.342,Right turn,
10581.085,Conspecific interaction,
10583.282,Left turn,
10586.135,Conspecific interaction,
10586.911,Left turn,
10589.282,Conspecific interaction,
