"","Time","Pressure","Compass1","Compass2","Compass3","AccelSway","Sway.g.","AccelSurge","Surge.g.","AccelHeave","Heave.g.","Temperature","Gyro1","Gyro2","Gyro3","Accel1","Accel2","Accel3","Temp2","Light","TempExt","ODBA","Time","Behavior","Comments","feeding"
"182",19.83343333,-0.6108641891,214,-66,911,-4608,-0.5625,7248,0.884765625,1776,0.216796875,960,-451,-244,163,8632,-15568,5748,62656,3500,20.625,0.23046875,19:50:06,"Straight swim",NA,0
"183",19.83345,-0.6149951964,214,-58,917,-3248,-0.396484375,7648,0.93359375,720,0.087890625,960,1175,-27,-537,5784,-14144,1860,62672,3500,20.625,0.041015625,19:50:07,"Straight swim",NA,0
"184",19.83346667,-0.5971356277,213,-180,1161,-2656,-0.32421875,16,0.001953125,6544,0.798828125,960,3486,-710,330,5280,7376,10948,62640,3500,20.625,-0.108072917,19:50:08,"Right turn",NA,0
"185",19.83348333,-0.5911649801,38,-24,1411,-4416,-0.5390625,-6160,-0.751953125,1376,0.16796875,960,-536,123,-335,9904,12184,2568,62656,3500,20.625,0.100260417,19:50:09,"Feed",NA,1
"186",19.8335,-0.6031259156,-60,-156,755,-6240,-0.76171875,7728,0.943359375,304,0.037109375,960,-646,507,-71,10532,-9900,-1508,62688,3500,20.625,-0.104817708,19:50:10,"Feed",NA,1
"187",19.83351667,-0.6059213832,-157,-114,760,-7024,-0.857421875,3936,0.48046875,-1664,-0.203125,960,-568,55,535,15048,-7904,-980,62672,3500,20.625,-0.053385417,19:50:11,"Feed",NA,1
"188",19.83353333,-0.6093387934,-123,-80,850,-6480,-0.791015625,4320,0.52734375,-2176,-0.265625,960,-117,68,115,13324,-6932,-4868,62640,3500,20.625,-0.010416667,19:50:12,"Feed",NA,1
"189",19.83355,-0.6003239011,66,-25,1018,-6224,-0.759765625,1472,0.1796875,304,0.037109375,960,-1970,531,-1207,12664,-4624,752,62720,3500,20.625,0.189453125,19:50:13,"Feed",NA,1
"190",19.83356667,-0.5765264187,-61,41,1222,-4720,-0.576171875,-6080,-0.7421875,-2272,-0.27734375,960,183,-799,1111,12792,13468,1064,62688,3500,20.625,0.065755208,19:50:14,"Feed",NA,1
"191",19.83358333,-0.5761794403,-16,3,1355,-6496,-0.79296875,-5136,-0.626953125,2800,0.341796875,960,-439,-319,237,14436,12348,7192,62688,3500,20.625,0.247395833,19:50:15,"Feed",NA,1
"192",19.8336,-0.5755116705,4,-38,1342,-7072,-0.86328125,-2176,-0.265625,2032,0.248046875,960,-1207,-239,-12,15468,4600,4072,62672,3500,20.625,0.112630208,19:50:16,"Feed",NA,1
"193",19.83361667,-0.5746016704,260,-151,1052,-8144,-0.994140625,2448,0.298828125,3824,0.466796875,960,4650,-864,126,19560,-1868,1568,62688,3500,20.6875,0.0546875,19:50:17,"Feed",NA,1
"194",19.83363333,-0.5645589365,732,481,465,-6992,-0.853515625,-2976,-0.36328125,624,0.076171875,960,-91,14,-425,15168,7748,1652,62720,3500,20.6875,-0.033854167,19:50:18,"Feed",NA,1
"195",19.83365,-0.5803235411,729,490,363,-7552,-0.921875,-3600,-0.439453125,1552,0.189453125,960,1094,834,48,15712,8536,2116,62688,3500,20.6875,-0.046223958,19:50:19,"Feed",NA,1
"196",19.83366667,-0.5620777134,740,465,351,-6368,-0.77734375,-3904,-0.4765625,2256,0.275390625,960,584,486,18,12152,7872,5728,62704,3500,20.6875,-0.106770833,19:50:20,"Feed",NA,1
"197",19.83368333,-0.5741564906,750,394,305,-5408,-0.66015625,-4256,-0.51953125,2784,0.33984375,960,83,1108,435,11452,8648,5032,62688,3500,20.6875,0.11328125,19:50:21,"Feed",NA,1
"198",19.8337,-0.5775869942,698,269,242,-3280,-0.400390625,-2448,-0.298828125,8480,1.03515625,960,669,459,-165,5000,4680,18488,62688,3500,20.6875,0.051432292,19:50:22,"Feed",NA,1
"199",19.83371667,-0.574091023,684,257,254,-2400,-0.29296875,-672,-0.08203125,7552,0.921875,960,262,-90,-67,9048,6860,14984,62672,3500,20.625,0.050130208,19:50:23,"Feed",NA,1
"200",19.83373333,-0.5748569942,759,375,246,-5584,-0.681640625,-448,-0.0546875,4240,0.517578125,960,-810,-1635,-330,15504,-1388,10128,62704,3500,20.5625,-0.153645833,19:50:24,"Feed",NA,1
"201",19.83375,-0.591911311,886,531,-774,-7360,-0.8984375,-160,-0.01953125,-176,-0.021484375,960,-515,362,131,14840,0,-584,62688,3500,20.5625,-0.004557292,19:50:25,"Feed",NA,1
"202",19.83376667,-0.5804806634,883,461,-772,-7760,-0.947265625,1568,0.19140625,1792,0.21875,960,-15,1,-321,15604,-1580,4224,62688,3500,20.5625,0.020182292,19:50:26,"Feed",NA,1
"203",19.83378333,-0.5591120299,742,532,-317,-3600,-0.439453125,-4720,-0.576171875,-208,-0.025390625,960,184,256,294,6772,12800,-96,62688,3500,20.5625,0.194661458,19:50:27,"Feed",NA,1
"204",19.8338,-0.5622217422,730,526,-337,-5760,-0.703125,-5344,-0.65234375,592,0.072265625,960,135,-100,4,12372,11280,3000,62704,3500,20.5,-0.065755208,19:50:28,"Feed",NA,1
"205",19.83381667,-0.5348104467,807,484,-463,-6560,-0.80078125,-4320,-0.52734375,1056,0.12890625,960,604,559,44,12524,12012,1368,62704,3500,20.5,0.173828125,19:50:29,"Feed",NA,1
"206",19.83383333,-0.546444044,809,509,-551,-6640,-0.810546875,-6336,-0.7734375,2016,0.24609375,960,465,526,-2,16080,13496,3664,62720,3500,20.5,0.077473958,19:50:30,"Feed",NA,1
